 time,CH1 ,CH2 ,CH3 ,CH4 ,CH5 ,CH6 ,CH7 ,CH8 ,CNT ,Freq  ,Latency ,Urevent  
 24-11-06 22:37:12.740,-458266,-814862,-893835,-569866,-713414,-628312,-660484,-741759,9759,0,9582,4
 24-11-06 22:37:12.740,-458352,-814989,-893985,-570050,-713607,-628507,-660977,-742083,9760,0,9582,4
 24-11-06 22:37:12.740,-458223,-815285,-894304,-570315,-713732,-628441,-661723,-742279,9761,0,9582,4
 24-11-06 22:37:12.741,-458109,-815689,-894697,-570656,-713758,-628312,-662369,-742562,9762,0,9582,4
 24-11-06 22:37:12.741,-458297,-816230,-895189,-570912,-714117,-628529,-662884,-742829,9763,0,9582,4
 24-11-06 22:37:12.742,-458494,-816509,-895561,-571179,-714449,-628761,-663294,-743131,9764,0,9582,4
 24-11-06 22:37:12.744,-458402,-816229,-895571,-571221,-714477,-628637,-663289,-743136,9765,0,9582,4
 24-11-06 22:37:12.744,-458404,-815876,-895489,-571180,-714341,-628437,-663038,-743039,9766,0,9582,4
 24-11-06 22:37:12.745,-458238,-815623,-895251,-571020,-713971,-628077,-662579,-742842,9767,0,9582,4
 24-11-06 22:37:12.747,-458150,-815583,-895035,-570871,-713870,-628068,-662245,-742679,9768,0,9582,4
 24-11-06 22:37:12.747,-458155,-815570,-894863,-570731,-714041,-628405,-662095,-742574,9769,0,9582,4
 24-11-06 22:37:12.748,-458210,-815424,-894671,-570600,-714185,-628831,-661764,-742414,9770,0,9582,4
 24-11-06 22:37:12.749,-458289,-815156,-894227,-570262,-713936,-628837,-660997,-742147,9771,0,9582,4
 24-11-06 22:37:12.750,-458316,-814856,-893786,-569807,-713424,-628455,-660177,-741691,9772,0,9582,4
 24-11-06 22:37:12.752,-458149,-814782,-893704,-569561,-713180,-628176,-659839,-741338,9773,0,9582,4
 24-11-06 22:37:12.752,-457891,-814689,-893581,-569384,-713127,-628339,-659537,-740899,9774,0,9582,4
 24-11-06 22:37:12.753,-457300,-814574,-893528,-569273,-713411,-628864,-659216,-740081,9775,0,9582,4
 24-11-06 22:37:12.755,-457167,-814469,-893464,-569318,-713909,-629146,-659280,-739991,9776,0,9582,4
 24-11-06 22:37:12.755,-458028,-814628,-893593,-569542,-713767,-628911,-659799,-740985,9777,0,9582,4
 24-11-06 22:37:12.756,-458329,-815238,-894046,-569749,-713427,-628164,-660854,-741685,9778,0,9582,4
 24-11-06 22:37:12.757,-458102,-815760,-894526,-569967,-713453,-628011,-661892,-741781,9779,0,9582,4
 24-11-06 22:37:12.758,-457976,-815816,-894708,-570156,-713724,-628302,-662385,-741822,9780,0,9582,4
 24-11-06 22:37:12.759,-458032,-815909,-894942,-570407,-714085,-628566,-662568,-742081,9781,0,9582,4
